Edad Simple;Provincias;Sexo;Periodo;Total
3 años;17 Girona;Hombres;1 de julio de 2021;3.723,000000
3 años;17 Girona;Mujeres;1 de julio de 2021;3.595,500000
3 años;18 Granada;Hombres;1 de julio de 2021;4.078,500000
3 años;18 Granada;Mujeres;1 de julio de 2021;3.900,000000
3 años;19 Guadalajara;Hombres;1 de julio de 2021;1.231,500000
3 años;19 Guadalajara;Mujeres;1 de julio de 2021;1.186,500000
3 años;21 Huelva;Hombres;1 de julio de 2021;2.368,500000
3 años;21 Huelva;Mujeres;1 de julio de 2021;2.242,500000
3 años;22 Huesca;Hombres;1 de julio de 2021;942,500000
3 años;22 Huesca;Mujeres;1 de julio de 2021;867,000000
3 años;23 Jaén;Hombres;1 de julio de 2021;2.511,500000
3 años;23 Jaén;Mujeres;1 de julio de 2021;2.409,000000
3 años;24 León;Hombres;1 de julio de 2021;1.387,000000
3 años;24 León;Mujeres;1 de julio de 2021;1.352,500000
3 años;25 Lleida;Hombres;1 de julio de 2021;1.982,500000
3 años;25 Lleida;Mujeres;1 de julio de 2021;1.851,500000
3 años;27 Lugo;Hombres;1 de julio de 2021;1.032,000000
3 años;27 Lugo;Mujeres;1 de julio de 2021;1.046,500000
3 años;28 Madrid;Hombres;1 de julio de 2021;30.681,500000
3 años;28 Madrid;Mujeres;1 de julio de 2021;29.067,500000
3 años;29 Málaga;Hombres;1 de julio de 2021;7.645,000000
3 años;29 Málaga;Mujeres;1 de julio de 2021;7.272,000000
3 años;30 Murcia;Hombres;1 de julio de 2021;7.817,000000
3 años;30 Murcia;Mujeres;1 de julio de 2021;7.489,000000
3 años;31 Navarra;Hombres;1 de julio de 2021;2.986,000000
3 años;31 Navarra;Mujeres;1 de julio de 2021;2.900,500000
3 años;32 Ourense;Hombres;1 de julio de 2021;849,000000
3 años;32 Ourense;Mujeres;1 de julio de 2021;826,000000
3 años;34 Palencia;Hombres;1 de julio de 2021;542,500000
3 años;34 Palencia;Mujeres;1 de julio de 2021;500,500000
3 años;35 Palmas, Las;Hombres;1 de julio de 2021;4.341,000000
3 años;35 Palmas, Las;Mujeres;1 de julio de 2021;4.046,500000
3 años;36 Pontevedra;Hombres;1 de julio de 2021;3.496,500000
3 años;36 Pontevedra;Mujeres;1 de julio de 2021;3.201,000000
3 años;26 Rioja, La;Hombres;1 de julio de 2021;1.334,500000
3 años;26 Rioja, La;Mujeres;1 de julio de 2021;1.254,500000
3 años;37 Salamanca;Hombres;1 de julio de 2021;1.071,500000
3 años;37 Salamanca;Mujeres;1 de julio de 2021;1.046,500000
3 años;38 Santa Cruz de Tenerife;Hombres;1 de julio de 2021;4.013,500000
3 años;38 Santa Cruz de Tenerife;Mujeres;1 de julio de 2021;3.740,000000
3 años;40 Segovia;Hombres;1 de julio de 2021;574,000000
3 años;40 Segovia;Mujeres;1 de julio de 2021;562,500000
3 años;41 Sevilla;Hombres;1 de julio de 2021;9.179,500000
3 años;41 Sevilla;Mujeres;1 de julio de 2021;8.661,000000
3 años;42 Soria;Hombres;1 de julio de 2021;328,000000
3 años;42 Soria;Mujeres;1 de julio de 2021;318,000000
3 años;43 Tarragona;Hombres;1 de julio de 2021;3.766,000000
3 años;43 Tarragona;Mujeres;1 de julio de 2021;3.550,500000
3 años;44 Teruel;Hombres;1 de julio de 2021;515,500000
3 años;44 Teruel;Mujeres;1 de julio de 2021;489,000000
3 años;45 Toledo;Hombres;1 de julio de 2021;3.423,000000
3 años;45 Toledo;Mujeres;1 de julio de 2021;3.280,000000
3 años;46 Valencia/València;Hombres;1 de julio de 2021;10.855,000000
3 años;46 Valencia/València;Mujeres;1 de julio de 2021;10.158,500000
3 años;47 Valladolid;Hombres;1 de julio de 2021;1.938,500000
